source,target,value,year,level
Template,Slicing,1,2001,2
Template,Maxima and minima,1,2001,2
Template,Grid,1,2001,2
Data structure,Slicing,1,2001,2
Data structure,Maxima and minima,1,2001,2
Slicing,Maxima and minima,1,2001,2
Slicing,Grid,1,2001,2
Maxima and minima,Grid,1,2001,2
Software,Resampling,1,2001,2
Software,Grid,1,2001,2
Software,Viewport,1,2001,2
Software,Graphics,1,2001,2
Rendering (computer graphics),Resampling,1,2001,2
Rendering (computer graphics),Viewport,1,2001,2
Resampling,Grid,1,2001,2
Resampling,Viewport,1,2001,2
Field (mathematics),Nyquist–Shannon sampling theorem,1,2001,2
Field (mathematics),Enhanced Data Rates for GSM Evolution,1,2001,2
Pattern recognition (psychology),Noise reduction,1,2001,2
Series (stratigraphy),Visualization,1,2001,2
Transfer (computing),Volume (thermodynamics),1,2001,2
Transfer (computing),Transfer of learning,1,2001,2
Transfer (computing),Graphics,1,2001,2
Transfer function,Volume (thermodynamics),1,2001,2
Transfer function,Transfer of learning,1,2001,2
Transfer function,Graphics,1,2001,2
Opacity,Volume (thermodynamics),1,2001,2
Computer graphics,Transfer function,1,2001,2
Opacity,Transfer of learning,1,2001,2
Opacity,Graphics,1,2001,2
Opacity,Transfer (computing),1,2001,2
Opacity,Transfer function,1,2001,2
Computer graphics,Volume (thermodynamics),1,2001,2
Computer graphics,Transfer of learning,1,2001,2
Graphics,Transfer of learning,1,2001,2
Transfer of learning,Volume (thermodynamics),1,2001,2
Rendering (computer graphics),Palette (painting),1,2001,2
Graphics,Palette (painting),1,2001,2
Graphics,Voxel,1,2001,2
Palette (painting),Voxel,1,2001,2
Palette (painting),Volume (thermodynamics),1,2001,2
Voxel,Volume (thermodynamics),1,2001,2
Texture mapping,Rendering (computer graphics),1,2001,2
Texture mapping,Tree traversal,1,2001,2
Texture mapping,Traverse,1,2001,2
Texture mapping,Homogeneous,1,2001,2
Texture mapping,Ray tracing (physics),1,2001,2
Rendering (computer graphics),Tree traversal,1,2001,2
Rendering (computer graphics),Traverse,1,2001,2
Rendering (computer graphics),Homogeneous,1,2001,2
Rendering (computer graphics),Ray tracing (physics),1,2001,2
Computer graphics,Transfer (computing),1,2001,2
Computer graphics,Opacity,1,2001,2
Signed distance function,Euclidean distance,1,2001,2
Euclidean distance,Nyquist–Shannon sampling theorem,1,2001,2
Point (geometry),Enhanced Data Rates for GSM Evolution,1,2001,2
Point (geometry),Surface (topology),1,2001,2
Point (geometry),Nyquist–Shannon sampling theorem,1,2001,2
Point (geometry),Voxel,1,2001,2
Euclidean distance,Enhanced Data Rates for GSM Evolution,1,2001,2
Euclidean distance,Surface (topology),1,2001,2
Euclidean distance,Voxel,1,2001,2
Rendering (computer graphics),Transfer of learning,1,2001,2
Euclidean distance,Point (geometry),1,2001,2
Signed distance function,Enhanced Data Rates for GSM Evolution,1,2001,2
Signed distance function,Surface (topology),1,2001,2
Signed distance function,Nyquist–Shannon sampling theorem,1,2001,2
Signed distance function,Voxel,1,2001,2
Signed distance function,Point (geometry),1,2001,2
Voxel,Nyquist–Shannon sampling theorem,1,2001,2
Voxel,Surface (topology),1,2001,2
Voxel,Enhanced Data Rates for GSM Evolution,1,2001,2
Nyquist–Shannon sampling theorem,Surface (topology),1,2001,2
Nyquist–Shannon sampling theorem,Enhanced Data Rates for GSM Evolution,1,2001,2
Surface (topology),Enhanced Data Rates for GSM Evolution,1,2001,2
Scalar (mathematics),Rendering (computer graphics),1,2001,2
Scalar (mathematics),Computer graphics,1,2001,2
Scalar (mathematics),Opacity,1,2001,2
Scalar (mathematics),Transfer function,1,2001,2
Scalar (mathematics),Transfer (computing),1,2001,2
Scalar (mathematics),Graphics,1,2001,2
Scalar (mathematics),Transfer of learning,1,2001,2
Scalar (mathematics),Volume (thermodynamics),1,2001,2
Rendering (computer graphics),Computer graphics,1,2001,2
Rendering (computer graphics),Transfer function,1,2001,2
Rendering (computer graphics),Transfer (computing),1,2001,2
Pixel,Focus (optics),1,2001,2
Planar,Focus (optics),1,2001,2
Planar,Pixel,1,2001,2
Auxiliary memory,Process (computing),1,2001,2
Position (finance),Dependency (UML),1,2001,2
Position (finance),Process (computing),1,2001,2
Position (finance),Scheme (mathematics),1,2001,2
Auxiliary memory,Grid,1,2001,2
Auxiliary memory,Polygon mesh,1,2001,2
Auxiliary memory,Dependency (UML),1,2001,2
Auxiliary memory,Scheme (mathematics),1,2001,2
Class (philosophy),Auxiliary memory,1,2001,2
Auxiliary memory,Position (finance),1,2001,2
Class (philosophy),Grid,1,2001,2
Class (philosophy),Polygon mesh,1,2001,2
Class (philosophy),Dependency (UML),1,2001,2
Class (philosophy),Process (computing),1,2001,2
Class (philosophy),Scheme (mathematics),1,2001,2
Position (finance),Polygon mesh,1,2001,2
Position (finance),Grid,1,2001,2
Scheme (mathematics),Process (computing),1,2001,2
Scheme (mathematics),Dependency (UML),1,2001,2
Scheme (mathematics),Polygon mesh,1,2001,2
Scheme (mathematics),Grid,1,2001,2
Process (computing),Dependency (UML),1,2001,2
Process (computing),Grid,1,2001,2
Dependency (UML),Polygon mesh,1,2001,2
Dependency (UML),Grid,1,2001,2
Construct (python library),Adaptive mesh refinement,1,2001,2
Construct (python library),Tree (set theory),1,2001,2
Construct (python library),Data structure,1,2001,2
Construct (python library),Polygon mesh,1,2001,2
Construct (python library),Grid,1,2001,2
Adaptive mesh refinement,Tree (set theory),1,2001,2
Adaptive mesh refinement,Data structure,1,2001,2
Class (philosophy),Position (finance),1,2001,2
Simple (philosophy),Grid,1,2001,2
Flexibility (engineering),Focus (optics),1,2001,2
Feature (linguistics),Dimensionality reduction,1,2001,2
Dimensionality reduction,Context (archaeology),1,2001,2
Dimensionality reduction,Principal component analysis,1,2001,2
Feature (linguistics),Variance (accounting),1,2001,2
Feature (linguistics),Set (abstract data type),1,2001,2
Feature (linguistics),Context (archaeology),1,2001,2
Feature (linguistics),Principal component analysis,1,2001,2
Curse of dimensionality,Visualization,1,2001,2
Simple (philosophy),Polygon mesh,1,2001,2
Curse of dimensionality,Variance (accounting),1,2001,2
Curse of dimensionality,Set (abstract data type),1,2001,2
Curse of dimensionality,Context (archaeology),1,2001,2
Curse of dimensionality,Principal component analysis,1,2001,2
Curse of dimensionality,Dimensionality reduction,1,2001,2
Curse of dimensionality,Feature (linguistics),1,2001,2
Dimensionality reduction,Set (abstract data type),1,2001,2
Dimensionality reduction,Variance (accounting),1,2001,2
Dimensionality reduction,Visualization,1,2001,2
Principal component analysis,Context (archaeology),1,2001,2
Principal component analysis,Set (abstract data type),1,2001,2
Principal component analysis,Variance (accounting),1,2001,2
Principal component analysis,Visualization,1,2001,2
Context (archaeology),Set (abstract data type),1,2001,2
Context (archaeology),Variance (accounting),1,2001,2
Set (abstract data type),Variance (accounting),1,2001,2
Variance (accounting),Visualization,1,2001,2
Simple (philosophy),Class (philosophy),1,2001,2
Simple (philosophy),Auxiliary memory,1,2001,2
Simple (philosophy),Position (finance),1,2001,2
Simple (philosophy),Scheme (mathematics),1,2001,2
Simple (philosophy),Process (computing),1,2001,2
Simple (philosophy),Dependency (UML),1,2001,2
Adaptive mesh refinement,Polygon mesh,1,2001,2
Adaptive mesh refinement,Grid,1,2001,2
Tree (set theory),Data structure,1,2001,2
Topology (electrical circuits),Current (fluid),1,2001,2
Relevance (law),Interpretation (philosophy),1,2001,2
Relevance (law),Set (abstract data type),1,2001,2
Relevance (law),Current (fluid),1,2001,2
Topology (electrical circuits),Grid,1,2001,2
Topology (electrical circuits),Interpretation (philosophy),1,2001,2
Topology (electrical circuits),Set (abstract data type),1,2001,2
Topology (electrical circuits),Relevance (law),1,2001,2
Tree (set theory),Polygon mesh,1,2001,2
Vector field,Grid,1,2001,2
Vector field,Interpretation (philosophy),1,2001,2
Vector field,Set (abstract data type),1,2001,2
Vector field,Current (fluid),1,2001,2
Vector field,Relevance (law),1,2001,2
Vector field,Topology (electrical circuits),1,2001,2
Relevance (law),Grid,1,2001,2
Current (fluid),Set (abstract data type),1,2001,2
Current (fluid),Interpretation (philosophy),1,2001,2
Current (fluid),Grid,1,2001,2
Set (abstract data type),Interpretation (philosophy),1,2001,2
Set (abstract data type),Grid,1,2001,2
Interpretation (philosophy),Grid,1,2001,2
Projector,Reconfigurability,1,2001,2
Projector,Flexibility (engineering),1,2001,2
Projector,Planar,1,2001,2
Projector,Focus (optics),1,2001,2
Reconfigurability,Flexibility (engineering),1,2001,2
Reconfigurability,Planar,1,2001,2
Reconfigurability,Pixel,1,2001,2
Reconfigurability,Focus (optics),1,2001,2
Flexibility (engineering),Planar,1,2001,2
Flexibility (engineering),Pixel,1,2001,2
Field (mathematics),Grid,1,2001,2
Field (mathematics),Interpretation (philosophy),1,2001,2
Field (mathematics),Set (abstract data type),1,2001,2
Line (geometry),Computational fluid dynamics,1,2001,2
Tree (set theory),Grid,1,2001,2
Field (mathematics),Basis (linear algebra),1,2001,2
Field (mathematics),Euclidean vector,1,2001,2
Basis (linear algebra),Euclidean vector,1,2001,2
Basis (linear algebra),Point (geometry),1,2001,2
Basis (linear algebra),Visualization,1,2001,2
Euclidean vector,Point (geometry),1,2001,2
Euclidean vector,Visualization,1,2001,2
Barycentric coordinate system,Line (geometry),1,2001,2
Barycentric coordinate system,Computational fluid dynamics,1,2001,2
Barycentric coordinate system,Topology (electrical circuits),1,2001,2
Barycentric coordinate system,Tetrahedron,1,2001,2
Barycentric coordinate system,Computational geometry,1,2001,2
Barycentric coordinate system,Surface (topology),1,2001,2
Line (geometry),Topology (electrical circuits),1,2001,2
Field (mathematics),Current (fluid),1,2001,2
Line (geometry),Tetrahedron,1,2001,2
Line (geometry),Computational geometry,1,2001,2
Line (geometry),Surface (topology),1,2001,2
Computational fluid dynamics,Topology (electrical circuits),1,2001,2
Computational fluid dynamics,Tetrahedron,1,2001,2
Computational fluid dynamics,Computational geometry,1,2001,2
Computational fluid dynamics,Surface (topology),1,2001,2
Topology (electrical circuits),Tetrahedron,1,2001,2
Topology (electrical circuits),Computational geometry,1,2001,2
Tetrahedron,Computational geometry,1,2001,2
Tetrahedron,Surface (topology),1,2001,2
Computational geometry,Surface (topology),1,2001,2
Field (mathematics),Vector field,1,2001,2
Field (mathematics),Topology (electrical circuits),1,2001,2
Dissection (medical),Virtual reality,1,2001,2
Rendering (computer graphics),Visualization,14,2002,2
Rendering (computer graphics),Computer graphics,7,2002,2
Computer graphics,Visualization,6,2002,2
Context (archaeology),Visualization,6,2002,2
Process (computing),Visualization,5,2002,2
Point (geometry),Visualization,5,2002,2
Rendering (computer graphics),Polygon mesh,5,2002,2
Computer graphics,Graphics,5,2002,2
Focus (optics),Visualization,4,2002,2
Set (abstract data type),Visualization,4,2002,2
Space (punctuation),Visualization,4,2002,2
Rendering (computer graphics),Voxel,4,2002,2
Rendering (computer graphics),Graphics,4,2002,2
Visualization,Surface (topology),4,2002,2
Terrain,Visualization,3,2002,2
Tree (set theory),Visualization,3,2002,2
Volume (thermodynamics),Visualization,3,2002,2
Data structure,Visualization,3,2002,2
Rendering (computer graphics),Data structure,3,2002,2
Hierarchy,Visualization,3,2002,2
Domain (mathematical analysis),Visualization,3,2002,2
Context (archaeology),Focus (optics),3,2002,2
Curvature,Surface (topology),3,2002,2
Animation,Visualization,3,2002,2
Perception,Visualization,3,2002,2
Texture mapping,Polygon mesh,3,2002,2
Graphics,Visualization,3,2002,2
Field (mathematics),Visualization,3,2002,2
Scalar (mathematics),Visualization,3,2002,2
Topology (electrical circuits),Visualization,2,2002,2
Texture mapping,Computer graphics,2,2002,2
Variation (astronomy),Visualization,2,2002,2
Scalability,Visualization,2,2002,2
Cluster analysis,Quadric,2,2002,2
Pixel,Voxel,2,2002,2
Graph,Visualization,2,2002,2
Metric (unit),Euclidean geometry,2,2002,2
Curvature,Polygon mesh,2,2002,2
Triangulation,Visualization,2,2002,2
Metric (unit),Visualization,2,2002,2
Usability,Visualization,2,2002,2
Rendering (computer graphics),Object (grammar),2,2002,2
Visualization,Polygon mesh,2,2002,2
Polygon mesh,Surface (topology),2,2002,2
Point (geometry),Surface (topology),2,2002,2
Rendering (computer graphics),Terrain,2,2002,2
Triangulation,Rendering (computer graphics),2,2002,2
Rendering (computer graphics),Point (geometry),2,2002,2
Grid,Visualization,2,2002,2
Curvature,Visualization,2,2002,2
Rendering (computer graphics),Frame rate,2,2002,2
Visualization,Focus (optics),2,2002,2
Data compression,Polygon mesh,2,2002,2
Process (computing),Focus (optics),2,2002,2
Feature (linguistics),Surface (topology),2,2002,2
Voxel,Image resolution,2,2002,2
Motion (physics),Visualization,2,2002,2
Visualization,Graphics,2,2002,2
Point (geometry),Point cloud,2,2002,2
Software,Visualization,2,2002,2
Context (archaeology),Point (geometry),2,2002,2
Rendering (computer graphics),Merge (version control),2,2002,2
Context (archaeology),Space (punctuation),2,2002,2
Tensor (intrinsic definition),Visualization,2,2002,2
Topology (electrical circuits),Tree (set theory),2,2002,2
Field (mathematics),Volume (thermodynamics),2,2002,2
Computer graphics,Polygon mesh,2,2002,2
Rendering (computer graphics),Attenuation,2,2002,2
Topology (electrical circuits),Surface (topology),2,2002,2
Scalar (mathematics),Topology (electrical circuits),2,2002,2
Field (mathematics),Tensor (intrinsic definition),1,2002,2
Focus (optics),Volume (thermodynamics),1,2002,2
Volume (thermodynamics),Tensor (intrinsic definition),1,2002,2
Pattern recognition (psychology),Tensor (intrinsic definition),1,2002,2
Pattern recognition (psychology),Regularization (linguistics),1,2002,2
Piecewise,Flattening,1,2002,2
Polygon mesh,Flattening,1,2002,2
Pattern recognition (psychology),Image resolution,1,2002,2
Focus (optics),Tensor (intrinsic definition),1,2002,2
Pattern recognition (psychology),A priori and a posteriori,1,2002,2
Pattern recognition (psychology),Voxel,1,2002,2
Paging,Data structure,1,2002,2
Field (mathematics),Focus (optics),1,2002,2
Out-of-core algorithm,Auxiliary memory,1,2002,2
Paging,Merge (version control),1,2002,2
Paging,Polygon mesh,1,2002,2
Paging,Auxiliary memory,1,2002,2
Binary tree,Out-of-core algorithm,1,2002,2
Binary tree,Rendering (computer graphics),1,2002,2
Binary tree,Auxiliary memory,1,2002,2
Binary tree,Data structure,1,2002,2
Paging,Rendering (computer graphics),1,2002,2
Binary tree,Merge (version control),1,2002,2
Binary tree,Polygon mesh,1,2002,2
Out-of-core algorithm,Rendering (computer graphics),1,2002,2
Out-of-core algorithm,Data structure,1,2002,2
Paging,Binary tree,1,2002,2
Out-of-core algorithm,Merge (version control),1,2002,2
Out-of-core algorithm,Polygon mesh,1,2002,2
Rendering (computer graphics),Auxiliary memory,1,2002,2
Pattern recognition (psychology),Tracing,1,2002,2
Auxiliary memory,Data structure,1,2002,2
Auxiliary memory,Merge (version control),1,2002,2
Auxiliary memory,Polygon mesh,1,2002,2
Data structure,Merge (version control),1,2002,2
Data structure,Polygon mesh,1,2002,2
Merge (version control),Polygon mesh,1,2002,2
Rendering (computer graphics),Tensor (intrinsic definition),1,2002,2
Paging,Out-of-core algorithm,1,2002,2
Abstraction,Data structure,1,2002,2
A priori and a posteriori,Voxel,1,2002,2
Constraint (computer-aided design),Graph,1,2002,2
Rendering (computer graphics),Time horizon,1,2002,2
Rendering (computer graphics),Horizon,1,2002,2
Terrain,Traverse,1,2002,2
Terrain,Time horizon,1,2002,2
Terrain,Horizon,1,2002,2
Traverse,Time horizon,1,2002,2
Traverse,Horizon,1,2002,2
Time horizon,Horizon,1,2002,2
Software,Tree traversal,1,2002,2
Software,Constraint (computer-aided design),1,2002,2
Software,Graph,1,2002,2
Tree traversal,Constraint (computer-aided design),1,2002,2
Tree traversal,Graph,1,2002,2
Tree traversal,Visualization,1,2002,2
Constraint (computer-aided design),Visualization,1,2002,2
A priori and a posteriori,Regularization (linguistics),1,2002,2
Field (mathematics),Matching (statistics),1,2002,2
Field (mathematics),Motion estimation,1,2002,2
Field (mathematics),Sequence (biology),1,2002,2
Field (mathematics),Motion (physics),1,2002,2
Matching (statistics),Motion estimation,1,2002,2
Matching (statistics),Volume (thermodynamics),1,2002,2
Matching (statistics),Sequence (biology),1,2002,2
Matching (statistics),Motion (physics),1,2002,2
Matching (statistics),Visualization,1,2002,2
Motion estimation,Volume (thermodynamics),1,2002,2
Motion estimation,Sequence (biology),1,2002,2
Motion estimation,Motion (physics),1,2002,2
Motion estimation,Visualization,1,2002,2
Volume (thermodynamics),Sequence (biology),1,2002,2
Rendering (computer graphics),Traverse,1,2002,2
Occlusion,Horizon,1,2002,2
Occlusion,Time horizon,1,2002,2
Occlusion,Traverse,1,2002,2
A priori and a posteriori,Tensor (intrinsic definition),1,2002,2
A priori and a posteriori,Image resolution,1,2002,2
A priori and a posteriori,Tracing,1,2002,2
Voxel,Regularization (linguistics),1,2002,2
Voxel,Tensor (intrinsic definition),1,2002,2
Voxel,Tracing,1,2002,2
Regularization (linguistics),Tensor (intrinsic definition),1,2002,2
Regularization (linguistics),Image resolution,1,2002,2
Regularization (linguistics),Tracing,1,2002,2
Tensor (intrinsic definition),Image resolution,1,2002,2
Tensor (intrinsic definition),Tracing,1,2002,2
Image resolution,Tracing,1,2002,2
Piecewise,Polygon mesh,1,2002,2
Triangulation,Grid,1,2002,2
Triangulation,Terrain,1,2002,2
Triangulation,Quadtree,1,2002,2
Digital elevation model,Rendering (computer graphics),1,2002,2
Digital elevation model,Grid,1,2002,2
Digital elevation model,Terrain,1,2002,2
Digital elevation model,Quadtree,1,2002,2
Digital elevation model,Visualization,1,2002,2
Rendering (computer graphics),Grid,1,2002,2
Rendering (computer graphics),Quadtree,1,2002,2
Grid,Terrain,1,2002,2
Grid,Quadtree,1,2002,2
Terrain,Quadtree,1,2002,2
Quadtree,Visualization,1,2002,2
Occlusion,Rendering (computer graphics),1,2002,2
Occlusion,Terrain,1,2002,2
Triangulation,Digital elevation model,1,2002,2
Rendering (computer graphics),Locality,1,2002,2
Computer graphics,Flattening,1,2002,2
Orientation (vector space),Visibility,1,2002,2
Algebra over a field,Dimension (graph theory),1,2002,2
Curvature,Texture mapping,1,2002,2
Curvature,Feature (linguistics),1,2002,2
Curvature,Orientation (vector space),1,2002,2
Curvature,Visibility,1,2002,2
Texture mapping,Feature (linguistics),1,2002,2
Texture mapping,Orientation (vector space),1,2002,2
Texture mapping,Visibility,1,2002,2
Texture mapping,Visualization,1,2002,2
Texture mapping,Surface (topology),1,2002,2
Feature (linguistics),Orientation (vector space),1,2002,2
Feature (linguistics),Visibility,1,2002,2
Feature (linguistics),Visualization,1,2002,2
Feature (linguistics),Polygon mesh,1,2002,2
Orientation (vector space),Visualization,1,2002,2
Vector field,Algebra over a field,1,2002,2
Orientation (vector space),Polygon mesh,1,2002,2
Orientation (vector space),Surface (topology),1,2002,2
Visibility,Visualization,1,2002,2
Visibility,Polygon mesh,1,2002,2
Visibility,Surface (topology),1,2002,2
Matching (statistics),Face (sociological concept),1,2002,2
Matching (statistics),Luminance,1,2002,2
Matching (statistics),RGB color model,1,2002,2
Face (sociological concept),Luminance,1,2002,2
Face (sociological concept),RGB color model,1,2002,2
Luminance,RGB color model,1,2002,2
Vortex,Visual inspection,1,2002,2
Vortex,Current (fluid),1,2002,2
Vortex,Process (computing),1,2002,2
Vector field,Dimension (graph theory),1,2002,2
Field (mathematics),Dimension (graph theory),1,2002,2
Computer graphics,Piecewise,1,2002,2
Computer graphics,Measure (data warehouse),1,2002,2
Focus (optics),Surface (topology),1,2002,2
Central processing unit,Cache,1,2002,2
Central processing unit,Rendering (computer graphics),1,2002,2
Central processing unit,Frame rate,1,2002,2
Central processing unit,Bottleneck,1,2002,2
Cache,Rendering (computer graphics),1,2002,2
Cache,Frame rate,1,2002,2
Cache,Bottleneck,1,2002,2
Rendering (computer graphics),Bottleneck,1,2002,2
Frame rate,Bottleneck,1,2002,2
Rendering (computer graphics),Visibility,1,2002,2
Rendering (computer graphics),Measure (data warehouse),1,2002,2
Rendering (computer graphics),Enhanced Data Rates for GSM Evolution,1,2002,2
Computer graphics,Visibility,1,2002,2
Computer graphics,Enhanced Data Rates for GSM Evolution,1,2002,2
Field (mathematics),Algebra over a field,1,2002,2
Visibility,Measure (data warehouse),1,2002,2
Visibility,Enhanced Data Rates for GSM Evolution,1,2002,2
Measure (data warehouse),Enhanced Data Rates for GSM Evolution,1,2002,2
Measure (data warehouse),Light source,1,2002,2
Measure (data warehouse),Entropy (arrow of time),1,2002,2
Measure (data warehouse),Position (finance),1,2002,2
Light source,Entropy (arrow of time),1,2002,2
Light source,Position (finance),1,2002,2
Entropy (arrow of time),Position (finance),1,2002,2
Octree,Field (mathematics),1,2002,2
Octree,Vector field,1,2002,2
Octree,Algebra over a field,1,2002,2
Octree,Dimension (graph theory),1,2002,2
Field (mathematics),Vector field,1,2002,2
Vortex,Flow (mathematics),1,2002,2
Vortex,"Streamlines, streaklines, and pathlines",1,2002,2
Visual inspection,Current (fluid),1,2002,2
Pixel,Scalability,1,2002,2
Image (mathematics),Domain (mathematical analysis),1,2002,2
Image (mathematics),Spatial frequency,1,2002,2
Image (mathematics),Visualization,1,2002,2
Set (abstract data type),Domain (mathematical analysis),1,2002,2
Set (abstract data type),Spatial frequency,1,2002,2
Domain (mathematical analysis),Spatial frequency,1,2002,2
Spatial frequency,Visualization,1,2002,2
Process (computing),Data modeling,1,2002,2
Process (computing),XML,1,2002,2
Data modeling,XML,1,2002,2
Data modeling,Visualization,1,2002,2
XML,Visualization,1,2002,2
Projector,Pixel,1,2002,2
Projector,Scalability,1,2002,2
Rendering (computer graphics),Decoding methods,1,2002,2
Visual inspection,Process (computing),1,2002,2
Sequence (biology),Motion (physics),1,2002,2
Rendering (computer graphics),Data compression,1,2002,2
Decoding methods,Locality,1,2002,2
Decoding methods,Data compression,1,2002,2
Decoding methods,Polygon mesh,1,2002,2
Locality,Data compression,1,2002,2
Locality,Polygon mesh,1,2002,2
Texture mapping,Bounded function,1,2002,2
Texture mapping,Piecewise,1,2002,2
Texture mapping,Flattening,1,2002,2
Bounded function,Computer graphics,1,2002,2
Bounded function,Piecewise,1,2002,2
Bounded function,Polygon mesh,1,2002,2
Bounded function,Flattening,1,2002,2
Image (mathematics),Set (abstract data type),1,2002,2
Strengths and weaknesses,Visualization,1,2002,2
Strengths and weaknesses,Spatial frequency,1,2002,2
Strengths and weaknesses,Domain (mathematical analysis),1,2002,2
Visual inspection,Flow (mathematics),1,2002,2
Visual inspection,"Streamlines, streaklines, and pathlines",1,2002,2
Current (fluid),Process (computing),1,2002,2
Current (fluid),Flow (mathematics),1,2002,2
Current (fluid),"Streamlines, streaklines, and pathlines",1,2002,2
Process (computing),Flow (mathematics),1,2002,2
Process (computing),"Streamlines, streaklines, and pathlines",1,2002,2
Flow (mathematics),"Streamlines, streaklines, and pathlines",1,2002,2
Metric (unit),Field (mathematics),1,2002,2
Metric (unit),Frequency domain,1,2002,2
Metric (unit),Strengths and weaknesses,1,2002,2
Metric (unit),Image (mathematics),1,2002,2
Metric (unit),Set (abstract data type),1,2002,2
Metric (unit),Domain (mathematical analysis),1,2002,2
Metric (unit),Spatial frequency,1,2002,2
Field (mathematics),Frequency domain,1,2002,2
Field (mathematics),Strengths and weaknesses,1,2002,2
Field (mathematics),Image (mathematics),1,2002,2
Field (mathematics),Set (abstract data type),1,2002,2
Field (mathematics),Domain (mathematical analysis),1,2002,2
Field (mathematics),Spatial frequency,1,2002,2
Frequency domain,Strengths and weaknesses,1,2002,2
Frequency domain,Image (mathematics),1,2002,2
Frequency domain,Set (abstract data type),1,2002,2
Frequency domain,Domain (mathematical analysis),1,2002,2
Frequency domain,Spatial frequency,1,2002,2
Frequency domain,Visualization,1,2002,2
Strengths and weaknesses,Image (mathematics),1,2002,2
Strengths and weaknesses,Set (abstract data type),1,2002,2
Volume (thermodynamics),Motion (physics),1,2002,2
Motion (physics),Object (grammar),1,2002,2
Sequence (biology),Visualization,1,2002,2
Draft tube,Turbine,1,2002,2
Flow (mathematics),Hydrostatic equilibrium,1,2002,2
Rope,Visualization,1,2002,2
Turbine,Visualization,1,2002,2
Turbine,Rope,1,2002,2
Draft tube,Visualization,1,2002,2
Draft tube,Rope,1,2002,2
Computational fluid dynamics,Visualization,1,2002,2
Vortex,Computational fluid dynamics,1,2002,2
Computational fluid dynamics,Rope,1,2002,2
Computational fluid dynamics,Turbine,1,2002,2
Computational fluid dynamics,Draft tube,1,2002,2
Vortex,Visualization,1,2002,2
Vortex,Rope,1,2002,2
Vortex,Turbine,1,2002,2
Flow (mathematics),Ocean current,1,2002,2
Flow (mathematics),Thermocline,1,2002,2
Flow (mathematics),Surface (topology),1,2002,2
Flow (mathematics),Advection,1,2002,2
Hydrostatic equilibrium,Ocean current,1,2002,2
Hydrostatic equilibrium,Thermocline,1,2002,2
Hydrostatic equilibrium,Surface (topology),1,2002,2
Hydrostatic equilibrium,Advection,1,2002,2
Ocean current,Thermocline,1,2002,2
Ocean current,Surface (topology),1,2002,2
Ocean current,Advection,1,2002,2
Thermocline,Surface (topology),1,2002,2
Thermocline,Advection,1,2002,2
Surface (topology),Advection,1,2002,2
Weather forecasting,Radar,1,2002,2
Weather forecasting,Terrain,1,2002,2
Weather forecasting,Context (archaeology),1,2002,2
Vortex,Draft tube,1,2002,2
Scalar (mathematics),Rope,1,2002,2
Sensory cue,Rendering (computer graphics),1,2002,2
Range (aeronautics),Coding (social sciences),1,2002,2
Finite element method,Grid,1,2002,2
Finite element method,Visualization,1,2002,2
Finite element method,Coding (social sciences),1,2002,2
Range (aeronautics),Debugging,1,2002,2
Range (aeronautics),Grid,1,2002,2
Range (aeronautics),Visualization,1,2002,2
Range (aeronautics),Finite element method,1,2002,2
Scalar (mathematics),Turbine,1,2002,2
Variable (mathematics),Debugging,1,2002,2
Variable (mathematics),Grid,1,2002,2
Variable (mathematics),Visualization,1,2002,2
Variable (mathematics),Coding (social sciences),1,2002,2
Variable (mathematics),Finite element method,1,2002,2
Variable (mathematics),Range (aeronautics),1,2002,2
Finite element method,Debugging,1,2002,2
Coding (social sciences),Visualization,1,2002,2
Coding (social sciences),Grid,1,2002,2
Coding (social sciences),Debugging,1,2002,2
Visualization,Grid,1,2002,2
Visualization,Debugging,1,2002,2
Grid,Debugging,1,2002,2
Adaptive mesh refinement,Rendering (computer graphics),1,2002,2
Adaptive mesh refinement,Computer graphics,1,2002,2
Adaptive mesh refinement,Data structure,1,2002,2
Adaptive mesh refinement,Graphics,1,2002,2
Adaptive mesh refinement,Visualization,1,2002,2
Computer graphics,Data structure,1,2002,2
Data structure,Graphics,1,2002,2
Scalar (mathematics),Vortex,1,2002,2
Scalar (mathematics),Computational fluid dynamics,1,2002,2
Scalar (mathematics),Draft tube,1,2002,2
Weather forecasting,Atmospheric model,1,2002,2
Weather forecasting,Visualization,1,2002,2
Radar,Terrain,1,2002,2
Curvature,Projection (relational algebra),1,2002,2
Gaussian,Gauss map,1,2002,2
Gaussian,Projection (relational algebra),1,2002,2
Gaussian,Polygon mesh,1,2002,2
Gaussian,Gauss,1,2002,2
Gaussian,Visualization,1,2002,2
Curvature,Gauss map,1,2002,2
Curvature,Gauss,1,2002,2
Radar,Context (archaeology),1,2002,2
Curvature,Gaussian,1,2002,2
Leverage (statistics),Visualization,1,2002,2
Bottleneck,Visualization,1,2002,2
Bottleneck,Leverage (statistics),1,2002,2
Web application,Visualization,1,2002,2
Web application,Leverage (statistics),1,2002,2
Gaussian,Surface (topology),1,2002,2
Visualization,Gauss,1,2002,2
Visualization,Projection (relational algebra),1,2002,2
Visualization,Gauss map,1,2002,2
Gauss,Polygon mesh,1,2002,2
Gauss,Projection (relational algebra),1,2002,2
Gauss,Gauss map,1,2002,2
Gauss,Surface (topology),1,2002,2
Polygon mesh,Projection (relational algebra),1,2002,2
Polygon mesh,Gauss map,1,2002,2
