source,target,value,year,level
Computer architecture,Computational science,1,1990,1
Computer architecture,Theoretical computer science,1,1990,1
Parallel computing,Theoretical computer science,1,1990,1
Parallel computing,Computer architecture,1,1990,1
Computer vision,Optics,1,1990,1
Engineering drawing,Human–computer interaction,1,1990,1
Software engineering,Computational science,1,1990,1
Control engineering,Simulation,1,1990,1
Artificial intelligence,Computer graphics (images),12,1991,1
Computer vision,Artificial intelligence,12,1991,1
Computer vision,Computer graphics (images),9,1991,1
Computer graphics (images),Human–computer interaction,4,1991,1
Software engineering,Human–computer interaction,4,1991,1
Data science,Human–computer interaction,3,1991,1
Theoretical computer science,Computer graphics (images),2,1991,1
Computer vision,Acoustics,2,1991,1
Multimedia,Computer graphics (images),2,1991,1
Theoretical computer science,Artificial intelligence,2,1991,1
Theoretical computer science,Algorithm,2,1991,1
Computational science,Algorithm,2,1991,1
Computer graphics (images),Computational science,2,1991,1
Computational science,Theoretical computer science,2,1991,1
Parallel computing,Computer graphics (images),2,1991,1
Data science,Data mining,2,1991,1
Artificial intelligence,Acoustics,2,1991,1
World Wide Web,Computer graphics (images),1,1991,1
Multimedia,Information retrieval,1,1991,1
Multimedia,World Wide Web,1,1991,1
Artificial intelligence,Algorithm,1,1991,1
Information retrieval,World Wide Web,1,1991,1
Information retrieval,Computer graphics (images),1,1991,1
Computer vision,Algorithm,1,1991,1
Theoretical computer science,Information retrieval,1,1991,1
Data mining,Theoretical computer science,1,1991,1
Data mining,Information retrieval,1,1991,1
Data mining,Artificial intelligence,1,1991,1
Engineering drawing,Software engineering,1,1991,1
Engineering drawing,Human–computer interaction,1,1991,1
Geometry,Computer vision,1,1991,1
Geometry,Artificial intelligence,1,1991,1
Geometry,Computer graphics (images),1,1991,1
Data science,Software engineering,1,1991,1
Data science,Systems engineering,1,1991,1
Data science,Computational science,1,1991,1
Systems engineering,Computational science,1,1991,1
Multimedia,Human–computer interaction,1,1991,1
Data mining,Computer graphics (images),1,1991,1
Computer graphics (images),Data mining,1,1991,1
Data mining,Human–computer interaction,1,1991,1
Information retrieval,Human–computer interaction,1,1991,1
Computer architecture,Parallel computing,1,1991,1
Computer architecture,Computer hardware,1,1991,1
Computer architecture,Computer graphics (images),1,1991,1
Parallel computing,Computer hardware,1,1991,1
Computer hardware,Computer graphics (images),1,1991,1
Computational science,Computer graphics (images),1,1991,1
Computer graphics (images),Algorithm,1,1991,1
Mathematical analysis,Algorithm,1,1991,1
Mathematical analysis,Combinatorics,1,1991,1
Algorithm,Combinatorics,1,1991,1
Computer graphics (images),Computer vision,1,1991,1
Computer graphics (images),Artificial intelligence,1,1991,1
Computer graphics (images),Acoustics,1,1991,1
Geometry,Combinatorics,1,1991,1
Natural language processing,Theoretical computer science,1,1991,1
Natural language processing,Artificial intelligence,1,1991,1
Natural language processing,Computer graphics (images),1,1991,1
Engineering drawing,Artificial intelligence,1,1991,1
Engineering drawing,Computer graphics (images),1,1991,1
Engineering drawing,Data mining,1,1991,1
Artificial intelligence,Data mining,1,1991,1
Data science,Information retrieval,1,1991,1
Information retrieval,Data mining,1,1991,1
Software engineering,Systems engineering,1,1991,1
Artificial intelligence,Computer graphics (images),12,1992,1
Computer vision,Artificial intelligence,11,1992,1
Computer vision,Computer graphics (images),9,1992,1
Computer graphics (images),Human–computer interaction,5,1992,1
Data mining,Computer graphics (images),3,1992,1
Programming language,Human–computer interaction,3,1992,1
Data science,Human–computer interaction,3,1992,1
Software engineering,Human–computer interaction,2,1992,1
Programming language,Software engineering,2,1992,1
Computer graphics (images),Information retrieval,2,1992,1
Computer vision,Algorithm,2,1992,1
Artificial intelligence,Algorithm,2,1992,1
Theoretical computer science,Parallel computing,1,1992,1
Programming language,Parallel computing,1,1992,1
Geophysics,Computer graphics (images),1,1992,1
Geophysics,Meteorology,1,1992,1
Computer graphics (images),Meteorology,1,1992,1
Programming language,Theoretical computer science,1,1992,1
Geometry,Mathematical analysis,1,1992,1
Database,Information retrieval,1,1992,1
Marine engineering,Systems engineering,1,1992,1
Theoretical computer science,Computer graphics (images),1,1992,1
Programming language,Database,1,1992,1
Theoretical computer science,Algorithm,1,1992,1
Computer graphics (images),Algorithm,1,1992,1
Data mining,Algorithm,1,1992,1
Data mining,Information retrieval,1,1992,1
Data mining,Human–computer interaction,1,1992,1
Information retrieval,Human–computer interaction,1,1992,1
Computer graphics (images),Artificial intelligence,1,1992,1
Artificial intelligence,Information retrieval,1,1992,1
Programming language,Computer architecture,1,1992,1
Parallel computing,Computer graphics (images),1,1992,1
Parallel computing,Computational science,1,1992,1
Mathematical optimization,Algorithm,1,1992,1
Mechanics,Computer graphics (images),1,1992,1
Mechanics,Simulation,1,1992,1
Programming language,Information retrieval,1,1992,1
Programming language,Computer graphics (images),1,1992,1
Data science,Software engineering,1,1992,1
Paleontology,Artificial intelligence,1,1992,1
Systems engineering,Simulation,1,1992,1
Geophysics,Oceanography,1,1992,1
Geophysics,Remote sensing,1,1992,1
Geophysics,Astrobiology,1,1992,1
Oceanography,Remote sensing,1,1992,1
Oceanography,Astrobiology,1,1992,1
Remote sensing,Astrobiology,1,1992,1
Multimedia,Computer hardware,1,1992,1
Multimedia,Computer graphics (images),1,1992,1
Multimedia,Human–computer interaction,1,1992,1
Computer hardware,Computer graphics (images),1,1992,1
Computer hardware,Human–computer interaction,1,1992,1
Paleontology,Computer graphics (images),1,1992,1
Programming language,Data science,1,1992,1
Nuclear physics,Computer graphics (images),1,1992,1
Data science,Computer graphics (images),1,1992,1
Geometry,Algorithm,1,1992,1
Geometry,Combinatorics,1,1992,1
Algorithm,Combinatorics,1,1992,1
Classical mechanics,Computer graphics (images),1,1992,1
Data mining,Computer vision,1,1992,1
Data mining,Artificial intelligence,1,1992,1
Programming language,World Wide Web,1,1992,1
Marine engineering,Simulation,1,1992,1
World Wide Web,Computer graphics (images),1,1992,1
World Wide Web,Human–computer interaction,1,1992,1
Computer graphics (images),Simulation,1,1992,1
Computer vision,Artificial intelligence,13,1993,1
Computer vision,Computer graphics (images),12,1993,1
Artificial intelligence,Computer graphics (images),10,1993,1
Computer graphics (images),Computational science,3,1993,1
Data mining,Information retrieval,3,1993,1
Computer graphics (images),Human–computer interaction,2,1993,1
Parallel computing,Distributed computing,2,1993,1
Data science,Software engineering,2,1993,1
Artificial intelligence,Human–computer interaction,2,1993,1
Geometry,Computer vision,2,1993,1
Computer vision,Algorithm,2,1993,1
Information retrieval,Computer graphics (images),1,1993,1
Earth science,Petroleum engineering,1,1993,1
Software engineering,Human–computer interaction,1,1993,1
Mechanics,Computational science,1,1993,1
Statistical physics,Algorithm,1,1993,1
Computer vision,Human–computer interaction,1,1993,1
Statistical physics,Theoretical computer science,1,1993,1
Data mining,Geophysics,1,1993,1
Data science,Earth science,1,1993,1
Data science,Petroleum engineering,1,1993,1
Aeronautics,Systems engineering,1,1993,1
Oceanography,Artificial intelligence,1,1993,1
Archaeology,Computer graphics (images),1,1993,1
Aeronautics,Aerospace engineering,1,1993,1
Systems engineering,Aerospace engineering,1,1993,1
Computer graphics (images),Simulation,1,1993,1
World Wide Web,Human–computer interaction,1,1993,1
Computational science,Simulation,1,1993,1
Simulation,Computational science,1,1993,1
Programming language,Information retrieval,1,1993,1
Programming language,Computer graphics (images),1,1993,1
Data science,Human–computer interaction,1,1993,1
Database,Information retrieval,1,1993,1
Theoretical computer science,Human–computer interaction,1,1993,1
Theoretical computer science,World Wide Web,1,1993,1
Classical mechanics,Mechanics,1,1993,1
Classical mechanics,Statistical physics,1,1993,1
Mechanics,Statistical physics,1,1993,1
Algorithm,Computer graphics (images),1,1993,1
Algorithm,Computational science,1,1993,1
Artificial intelligence,Algorithm,1,1993,1
Programming language,Software engineering,1,1993,1
Programming language,Database,1,1993,1
Software engineering,Database,1,1993,1
Parallel computing,Algorithm,1,1993,1
Parallel computing,Computer architecture,1,1993,1
Parallel computing,Programming language,1,1993,1
Computer architecture,Programming language,1,1993,1
Computer architecture,Distributed computing,1,1993,1
Programming language,Distributed computing,1,1993,1
Embedded system,Computer hardware,1,1993,1
Data mining,Theoretical computer science,1,1993,1
Theoretical computer science,Information retrieval,1,1993,1
Data mining,Database,1,1993,1
Parallel computing,Computer graphics (images),1,1993,1
Geometry,Artificial intelligence,1,1993,1
Theoretical computer science,Algorithm,1,1993,1
Computer vision,Artificial intelligence,9,1994,1
Computer vision,Computer graphics (images),6,1994,1
Artificial intelligence,Computer graphics (images),6,1994,1
Computer graphics (images),Algorithm,3,1994,1
Computer graphics (images),Computational science,3,1994,1
Artificial intelligence,Algorithm,2,1994,1
Software engineering,Human–computer interaction,2,1994,1
Theoretical computer science,Computer graphics (images),2,1994,1
Algorithm,Computer graphics (images),2,1994,1
Computer vision,Algorithm,2,1994,1
Computer graphics (images),Human–computer interaction,2,1994,1
Climatology,Meteorology,2,1994,1
Geometry,Computer graphics (images),2,1994,1
Data mining,Information retrieval,2,1994,1
Computational science,Artificial intelligence,1,1994,1
Computational science,Computer vision,1,1994,1
Computational science,Algorithm,1,1994,1
Computational science,Computer graphics (images),1,1994,1
Parallel computing,Distributed computing,1,1994,1
Algorithm,Computer vision,1,1994,1
Data mining,Artificial intelligence,1,1994,1
Algorithm,Artificial intelligence,1,1994,1
Programming language,Theoretical computer science,1,1994,1
Programming language,Computer graphics (images),1,1994,1
Earth science,Meteorology,1,1994,1
Algorithm,Human–computer interaction,1,1994,1
Classical mechanics,Geometry,1,1994,1
Mechanics,Aerospace engineering,1,1994,1
Data mining,Computer vision,1,1994,1
Geometry,Pure mathematics,1,1994,1
Mathematical analysis,Pure mathematics,1,1994,1
Theoretical computer science,Algorithm,1,1994,1
Algorithm,Combinatorics,1,1994,1
Statistical physics,Algorithm,1,1994,1
Artificial intelligence,Optics,1,1994,1
Parallel computing,Computer hardware,1,1994,1
Parallel computing,Computer graphics (images),1,1994,1
Geometry,Mathematical analysis,1,1994,1
Distributed computing,Human–computer interaction,1,1994,1
Geometry,Artificial intelligence,1,1994,1
Geometry,Computer vision,1,1994,1
Human–computer interaction,Data science,1,1994,1
Human–computer interaction,Computer vision,1,1994,1
Human–computer interaction,Artificial intelligence,1,1994,1
Human–computer interaction,Computer graphics (images),1,1994,1
Data science,Computer vision,1,1994,1
Data science,Artificial intelligence,1,1994,1
Data science,Computer graphics (images),1,1994,1
Algorithm,Theoretical computer science,1,1994,1
Algorithm,Computational science,1,1994,1
Theoretical computer science,Computational science,1,1994,1
Mechanics,Statistical physics,1,1994,1
Mechanics,Computational physics,1,1994,1
Statistical physics,Computational physics,1,1994,1
Data mining,Data science,1,1994,1
Data science,Information retrieval,1,1994,1
Data mining,Theoretical computer science,1,1994,1
Engineering drawing,Computer graphics (images),1,1994,1
Computer vision,Computational science,1,1994,1
Artificial intelligence,Computational science,1,1994,1
Data mining,Human–computer interaction,1,1994,1
Information retrieval,Human–computer interaction,1,1994,1
Electronic engineering,Electrical engineering,1,1994,1
Mechanics,Computational science,1,1994,1
Computer hardware,Computer graphics (images),1,1994,1
Computer vision,Artificial intelligence,13,1995,1
Artificial intelligence,Computer graphics (images),10,1995,1
Computer vision,Computer graphics (images),9,1995,1
World Wide Web,Human–computer interaction,8,1995,1
Information retrieval,Human–computer interaction,6,1995,1
World Wide Web,Information retrieval,5,1995,1
Artificial intelligence,Algorithm,5,1995,1
Computer graphics (images),Algorithm,4,1995,1
Data mining,Artificial intelligence,4,1995,1
Data science,Human–computer interaction,4,1995,1
Data science,World Wide Web,3,1995,1
Multimedia,Human–computer interaction,3,1995,1
Theoretical computer science,Artificial intelligence,3,1995,1
Artificial intelligence,Information retrieval,3,1995,1
Computational science,Algorithm,2,1995,1
Computer vision,Algorithm,2,1995,1
Mathematical optimization,Algorithm,2,1995,1
Simulation,Aerospace engineering,2,1995,1
Data mining,Database,2,1995,1
Data mining,Information retrieval,2,1995,1
Data mining,Theoretical computer science,2,1995,1
Theoretical computer science,Algorithm,2,1995,1
Data mining,Computer graphics (images),2,1995,1
Software engineering,Human–computer interaction,2,1995,1
Data mining,Algorithm,2,1995,1
Computer graphics (images),Human–computer interaction,2,1995,1
Theoretical computer science,Computer graphics (images),2,1995,1
Database,Information retrieval,2,1995,1
Multimedia,World Wide Web,2,1995,1
Information retrieval,Computer graphics (images),2,1995,1
Algorithm,Astronomy,1,1995,1
Biomedical engineering,Biological system,1,1995,1
Real-time computing,Computer vision,1,1995,1
Programming language,Distributed computing,1,1995,1
Software engineering,Distributed computing,1,1995,1
Computer graphics (images),Simulation,1,1995,1
Artificial intelligence,Biological system,1,1995,1
Computer vision,Biological system,1,1995,1
Computer graphics (images),Computational science,1,1995,1
Simulation,Computational science,1,1995,1
Mechanics,Algorithm,1,1995,1
Mechanics,Computer graphics (images),1,1995,1
Biomedical engineering,Artificial intelligence,1,1995,1
Biomedical engineering,Computer vision,1,1995,1
Systems engineering,Human–computer interaction,1,1995,1
Anatomy,Biological system,1,1995,1
Data science,Computer graphics (images),1,1995,1
Data science,Algorithm,1,1995,1
Anatomy,Artificial intelligence,1,1995,1
Anatomy,Computer vision,1,1995,1
Anatomy,Biomedical engineering,1,1995,1
Data science,Astronomy,1,1995,1
Programming language,Software engineering,1,1995,1
Computer graphics (images),Astronomy,1,1995,1
Data mining,Human–computer interaction,1,1995,1
Computational science,Computer graphics (images),1,1995,1
Data mining,Computational science,1,1995,1
Artificial intelligence,Human–computer interaction,1,1995,1
Artificial intelligence,Computer vision,1,1995,1
Computer vision,Information retrieval,1,1995,1
Natural language processing,World Wide Web,1,1995,1
Natural language processing,Information retrieval,1,1995,1
Natural language processing,Human–computer interaction,1,1995,1
World Wide Web,Database,1,1995,1
Database,Human–computer interaction,1,1995,1
Theoretical computer science,Human–computer interaction,1,1995,1
Information retrieval,Database,1,1995,1
Database,Computer graphics (images),1,1995,1
Data science,Software engineering,1,1995,1
Software engineering,World Wide Web,1,1995,1
Multimedia,Data science,1,1995,1
Theoretical computer science,Information retrieval,1,1995,1
Data mining,Remote sensing,1,1995,1
Remote sensing,Database,1,1995,1
Data science,Multimedia,1,1995,1
Parallel computing,Computer graphics (images),1,1995,1
Parallel computing,Algorithm,1,1995,1
Mathematical optimization,Theoretical computer science,1,1995,1
Data science,Information retrieval,1,1995,1
Programming language,Human–computer interaction,1,1995,1
Real-time computing,Artificial intelligence,1,1995,1
Computer vision,Artificial intelligence,25,1996,1
Artificial intelligence,Computer graphics (images),16,1996,1
Computer vision,Computer graphics (images),16,1996,1
Computer graphics (images),Human–computer interaction,6,1996,1
Computer vision,Algorithm,5,1996,1
Artificial intelligence,Algorithm,4,1996,1
Computer graphics (images),Algorithm,4,1996,1
Information retrieval,Human–computer interaction,4,1996,1
Data mining,Artificial intelligence,3,1996,1
Data science,Human–computer interaction,3,1996,1
Artificial intelligence,Human–computer interaction,3,1996,1
Data mining,Computer vision,3,1996,1
Theoretical computer science,Algorithm,3,1996,1
World Wide Web,Human–computer interaction,3,1996,1
Multimedia,World Wide Web,3,1996,1
Multimedia,Human–computer interaction,2,1996,1
