Year,DOI,Award,Track,Title,Author
2020,10.1109/TVCG.2020.3030428,HM,VAST,Preserving Minority Structures in Graph Sampling.,"Ying Zhao, Haojin Jiang, Qiâan Chen, Yaqi Qin, Huixuan Xie, Yitao Wu, Shixia Liu, Zhiguang Zhou, Jiazhi Xia, Fangfang Zhou."
2019,10.1109/TVCG.2019.2934538,BP,InfoVis,Data Changes Everything: Challenges and Opportunities in Data Visualization Design Handoff.,"Jagoda Walny, Christian Frisson, Mieka West, Doris Kosminsky, SÃ¸ren Knudsen, Sheelagh Carpendale, Wesley Willett."
2019,10.1109/TVCG.2019.2934312,BP,SciVis,InSituNet: Deep Image Synthesis for Parameter Space Exploration of Ensemble Simulations.,"Wenbin He, Junpeng Wang, Hanqi Guo, Ko-Chih Wang, Han-Wei Shen, Mukund Raj, Youssef S. G. Nashed, Tom Peterka."
2019,10.1109/TVCG.2019.2934668,BP,VAST,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System.,"Bowen Yu, ClÃ¡udio T. Silva."
2019,10.1109/TVCG.2019.2934786,HM,InfoVis,The Perceptual Proxies of Visual Comparison.,"Nicole Jardine, Brian D. Ondov, Niklas Elmqvist, Steven Franconeri."
2019,10.1109/TVCG.2019.2934256,HM,SciVis,Progressive Wasserstein Barycenters of Persistence Diagrams.,"Jules Vidal, Joseph Budin, Julien Tierny."
2019,10.1109/TVCG.2019.2934257,HM,SciVis,Toward Localized Topological Data Structures: Querying the Forest for the Tree.,"Pavol Klacansky, Attila Gyulassy, Peer-Timo Bremer, Valerio Pascucci."
2019,10.1109/TVCG.2019.2934591,HM,VAST,NNVA: Neural Network Assisted Visual Analysis of Yeast Cell Polarization Simulation.,"Subhashis Hazarika, Haoyu Li, Ko-Chih Wang, Han-Wei Shen, Ching-Shan Chou."
2019,10.1109/TVCG.2019.2934251,HM,VAST,Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning.,"Takanori Fujiwara, Oh-Hyun Kwon, Kwan-Liu Ma."
2018,10.1109/TVCG.2018.2865240,BP,InfoVis,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco.,"Dominik Moritz, Chenglong Wang, Greg L. Nelson, Halden Lin, Adam M. Smith, Bill Howe, Jeffrey Heer."
2018,10.1109/TVCG.2018.2864498,BP,SciVis,Deadeye: A Novel Preattentive Visualization Technique Based on Dichoptic Presentation.,"Andrey Krekhov, Jens KrÃ¼ger."
2018,10.1109/TVCG.2018.2865018,BP,VAST,TPFlow: Progressive Partition and Multidimensional Pattern Extraction for Large-Scale Spatio-Temporal Data Analysis.,"Dongyu Liu, Panpan Xu, Liu Ren."
2018,10.1109/TVCG.2018.2864836,HM,InfoVis,Design Exposition with Literate Visualization.,"Jo Wood, Alexander Kachkaev, Jason Dykes."
2018,10.1109/TVCG.2018.2865147,HM,InfoVis,Mapping Color to Meaning in Colormap Data Visualizations.,"Karen B. Schloss, Connor C. Gramazio, Allison T. Silverman, Madeline L. Parker, Audrey S. Wang."
2018,10.1109/TVCG.2018.2865158,HM,InfoVis,Charticulator: Interactive Construction of Bespoke Chart Layouts.,"Donghao Ren, Bongshin Lee, Matthew Brehmer."
2018,10.1109/TVCG.2018.2864491,HM,SciVis,Labels on Levels: Labeling of Multi-Scale Multi-Instance and Crowded 3D Biological Environments.,"David KouÅil, Ladislav ÄmolÃ­k, Barbora KozlÃ­kovÃ¡, Hslanc-Yun Wu, Graham Johnson, David S. Goodsell, Arthur Olson, M. Eduard GrÃ¶ller, Ivan Viola."
2018,10.1109/TVCG.2018.2864656,HM,SciVis,Firefly: Virtual Illumination Drones for Interactive Visualization.,"Sergej Stoppel, Magnus Paulson Erga, Stefan Bruckner."
2018,10.1109/TVCG.2018.2864504,HM,VAST,DQNViz: A Visual Analytics Approach to Understand Deep Q-Networks.,"Junpeng Wang, Liang Gou, Han-Wei Shen, Hao Yang."
2018,10.1109/TVCG.2018.2865026,HM,VAST,A Visual Analytics Framework for the Detection of Anomalous Call Stack Trees in High Performance Computing Applications.,"Cong Xie, Wei Xu, Klaus Mueller."
2018,10.1109/TVCG.2018.2865044,HM,VAST,Seq2Seq-Vis: A Visual Debugging Tool for Sequence-to-Sequence Models.,"Hendrik Strobelt, Sebastian Gehrmann, Michael Behrisch, Adam Perer, Hanspeter Pfister, Alexander M. Rush."
2017,10.1109/TVCG.2017.2744359,BP,InfoVis,Modeling Color Difference for Visualization Design.,Danielle Albers Szafir.
2017,10.1109/TVCG.2017.2743958,BP,SciVis,Globe Browsing: Contextualized Spatio-Temporal Planetary Surface Visualization.,"Karl Bladin, Emil Axelsson, Erik Broberg, Carter Emmart, Patric Ljung, Alexander Bock, Anders Ynnerman."
2017,10.1109/TVCG.2017.2744878,BP,VAST,Visualizing Dataflow Graphs of Deep Learning Models in TensorFlow.,"Kanit Wongsuphasawat, Daniel Smilkov, James Wexler, Jimbo Wilson, Dandelion ManÃ©, Doug Fritz, Dilip Krishnan, Fernanda B. ViÃ©gas, Martin Wattenberg."
2017,10.1109/TVCG.2017.2744198,HM,InfoVis,"Keeping Multiple Views Consistent: Constraints, Validations, and Exceptions in Visualization Authoring.","Zening Qu, Jessica Hullman."
2017,10.1109/TVCG.2017.2744319,HM,InfoVis,Bridging from Goals to Tasks with Design Study Analysis Reports.,"Heidi Lam, Melanie Tory, Tamara Munzner."
2017,10.1109/TVCG.2017.2743938,HM,SciVis,The Topology ToolKit.,"Julien Tierny, Guillaume Favelier, Joshua A. Levine, Charles Gueunet, Michael Michaux."
2017,10.1109/TVCG.2017.2744258,HM,SciVis,Instant Construction and Visualization of Crowded Biological Environments.,"Tobias Klein, Ludovic Autin, Barbora KozlÃ­kovÃ¡, David S. Goodsell, Arthur Olson, M. Eduard GrÃ¶ller, Ivan Viola."
2017,10.1109/TVCG.2017.2745080,HM,VAST,Progressive Learning of Topic Modeling Parameters: A Visual Analytics Framework.,"Mennatallah El-Assady, Rita Sevastjanova, Fabian Sperrle, Daniel Keim, Christopher Collins."
2017,10.1109/TVCG.2017.2745279,HM,VAST,Supporting Handoff in Asynchronous Collaborative Sensemaking Using Knowledge-Transfer Graphs.,"Jian Zhao, Michael Glueck, Petra Isenberg, Fanny Chevalier, Azam Khan."
2016,10.1109/TVCG.2016.2599030,BP,InfoVis,Vega-Lite: A Grammar of Interactive Graphics.,"Arvind Satyanarayan, Dominik Moritz, Kanit Wongsuphasawat, Jeffrey Heer."
2016,10.1109/TVCG.2016.2599017,BP,SciVis,Jacobi Fiber Surfaces for Bivariate Reeb Space Computation.,"Julien Tierny, Hamish Carr."
2016,10.1109/TVCG.2016.2598829,BP,VAST,An Analysis of Machine- and Human-Analytics in Classification.,"Gary K. L. Tam, Vivek Kothari, Min Chen."
2016,10.1109/TVCG.2016.2598594,HM,InfoVis,The Attraction Effect in Information Visualization.,"Evanthia Dimara, Anastasia Bezerianos, Pierre Dragicevic."
2016,10.1109/TVCG.2016.2598862,HM,InfoVis,Map LineUps: Effects of spatial structure on graphical inference.,"Roger Beecham, Jason Dykes, Wouter Meulemans, Aidan Slingsby, Cagatay Turkay, Jo Wood."
2016,10.1109/TVCG.2016.2598885,HM,InfoVis,Many-to-Many Geographically-Embedded Flow Visualisation: An Evaluation.,"Yalong Yang, Tim Dwyer, Sarah Goodwin, Kim Marriott."
2016,10.1109/TVCG.2016.2598430,HM,SciVis,Correlated Photon Mapping for Interactive Global Illumination of Time-Varying Volumetric Data.,"Daniel JÃ¶nsson, Anders Ynnerman."
2016,10.1109/TVCG.2016.2598604,HM,SciVis,In Situ Distribution Guided Analysis and Visualization of Transonic Jet Engine Simulations.,"Soumya Dutta, Chun-Ming Chen, Gregory Heinlein, Han-Wei Shen, Jen-Ping Chen."
2016,10.1109/TVCG.2016.2598479,HM,VAST,A Visual Analytics Approach for Categorical Joint Distribution Reconstruction from Marginal Projections.,"Cong Xie, Wen Zhong, Klaus Mueller."
2016,10.1109/TVCG.2016.2598664,HM,VAST,ViDX: Visual Diagnostics of Assembly Line Performance in Smart Factories.,"Panpan Xu, Honghui Mei, Liu Ren, Wei Chen."
