Year,DOI,Title,Number of Authors,Author Name,Author Position,Author Position Type,OpenAlex Author ID,Author ORCID,Number of Affiliations,First Institution Name,Raw Affiliation String,First Institution ID,First Institution ROR,First Institution Type,First Institution Country Code
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,2,Jeffrey Heer,2,last,https://openalex.org/A2112690490,https://orcid.org/0000-0002-6175-1655,1.0,Stanford University,"Stanford Univ., Stanford, CA (USA)",https://openalex.org/I97018004,https://ror.org/00f54p054,education,US
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,2,Michael Garland,1,first,https://openalex.org/A2182953115,,1.0,Carnegie Mellon University, Carnegie Mellon University Pittsburgh PA USA,https://openalex.org/I74973139,https://ror.org/05x2bcf33,education,US
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,2,Paul S. Heckbert,2,last,https://openalex.org/A350629882,,1.0,Carnegie Mellon University,"Carnegie Mellon University, Pittsburgh, PA.",https://openalex.org/I74973139,https://ror.org/05x2bcf33,education,US
2009,10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,1,Tamara Munzner,1,first,https://openalex.org/A544170546,https://orcid.org/0000-0002-3294-3869,1.0,University of British Columbia,"University of British Columbia, Vancouver, BC,  Canada;",https://openalex.org/I141945490,https://ror.org/03rmrcq20,education,CA
1994,10.1109/VISUAL.1994.346302,XmdvTool: integrating multiple methods for visualizing multivariate data,1,Matthew O. Ward,1,first,https://openalex.org/A2102429099,,1.0,Worcester Polytechnic Institute,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA",https://openalex.org/I107077323,https://ror.org/05ejpqr48,education,US
2000,10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,1,Ed H. Chi,1,first,https://openalex.org/A2237883256,,1.0,Palo Alto Research Center,"Xerox Palo Alto Res. Center, CA, USA",https://openalex.org/I173498003,https://ror.org/0529fxt39,facility,US
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3,Nathalie Henry,1,first,https://openalex.org/A2141074253,,1.0,University of Sydney,"University of Sydney, Sydney",https://openalex.org/I129604602,https://ror.org/0384j8v12,education,AU
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3,Jean-Daniel Fekete,2,middle,https://openalex.org/A2154968417,https://orcid.org/0000-0003-3770-8726,1.0,Analysis and Visualization,Analysis and Visualization,,,,
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3,Michael J. McGuffin,3,last,https://openalex.org/A2017391874,,1.0,IEEE#TAB#,IEEE#TAB#,,,,
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3,Ying-Huey Fua,1,first,https://openalex.org/A1255825317,,1.0,Worcester Polytechnic Institute,"Computer Science Dept., Worcester Polytechnic Institute, Worcester, MA#TAB#",https://openalex.org/I107077323,https://ror.org/05ejpqr48,education,US
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3,Matthew O. Ward,2,middle,https://openalex.org/A2102429099,,1.0,Worcester Polytechnic Institute,"Computer Science Dept., Worcester Polytechnic Institute, Worcester, MA#TAB#",https://openalex.org/I107077323,https://ror.org/05ejpqr48,education,US
