Year,DOI,Title,OpenAlex Year,OpenAlex ID,OpenAlex Title,OpenAlex DOI,OpenAlex URL,OpenAlex Venue,OpenAlex Journal,OpenAlex Publisher,OpenAlex First Page,OpenAlex Last Page
1999,10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,1999.0,https://openalex.org/W3150574965,New quadric metric for simplifying meshes with appearance attributes,https://doi.org/10.1109/visual.1999.809869,https://doi.org/10.1109/visual.1999.809869,,ieee visualization,,59,510
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,1999.0,https://openalex.org/W2087597683,Multi-projector displays using camera-based registration,https://doi.org/10.5555/319351.319370,http://dx.doi.org/10.1109/VISUAL.1999.809883,,ieee visualization,IEEE Computer Society Press,161,168
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,1996.0,https://openalex.org/W2148307697,A haptic interaction method for volume visualization,https://doi.org/10.5555/244979.245054,http://dx.doi.org/10.1109/VISUAL.1996.568108,,ieee visualization,IEEE Computer Society Press,197,204
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",2002.0,https://openalex.org/W2130675236,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",https://doi.org/10.1109/infvis.2002.1173148,https://doi.org/10.1109/infvis.2002.1173148,,ieee symposium on information visualization,IEEE Computer Society,57,64
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,2007.0,https://openalex.org/W2125215841,Animated Transitions in Statistical Data Graphics,https://doi.org/10.1109/tvcg.2007.70539,https://doi.org/10.1109/tvcg.2007.70539,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1240,1247
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,2008.0,https://openalex.org/W2110080554,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,https://doi.org/10.1109/tvcg.2008.153,https://doi.org/10.1109/tvcg.2008.153,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1141,1148
1998,10.1109/VISUAL.1998.745280,Large scale terrain visualization using the restricted quadtree triangulation,1998.0,https://openalex.org/W2099404391,Large scale terrain visualization using the restricted quadtree triangulation,https://doi.org/10.5555/288216.288219,http://dx.doi.org/10.1109/VISUAL.1998.745280,,ieee visualization,IEEE Computer Society Press,19,26
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,1996.0,https://openalex.org/W2150851531,Dynamic view-dependent simplification for polygonal models,https://doi.org/10.5555/244979.245627,https://doi.org/10.1109/VISUAL.1996.568126,,ieee visualization,IEEE Computer Society Press,327,334
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,2006.0,https://openalex.org/W2154069299,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,https://doi.org/10.1109/tvcg.2006.115,https://doi.org/10.1109/tvcg.2006.115,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1237,1244
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,2012.0,https://openalex.org/W1970569592,Design Study Methodology: Reflections from the Trenches and the Stacks,https://doi.org/10.1109/tvcg.2012.213,https://doi.org/10.1109/tvcg.2012.213,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,2431,2440
